"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"mgn:X_Axis:1                        ","Class","X_Axis","1.0.0.0","mgn","X-axis of a coordinate system, as a unit vector","geo","","","","","","","","","","",""
"mgn:X_Axis:2                         mgn:x:1                             ","Attribute","x","n/a","mgn","X-coordinate of a unit vector ","geo","ASCII_Real","1","1","-1","1","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"mgn:X_Axis:2                         mgn:y:1                             ","Attribute","y","n/a","mgn","Y-coordinate of a unit vector ","geo","ASCII_Real","1","1","-1","1","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"mgn:X_Axis:2                         mgn:z:1                             ","Attribute","z","n/a","mgn","Z-coordinate of a unit vector ","geo","ASCII_Real","1","1","-1","1","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"mgn:Y_Axis:1                        ","Class","Y_Axis","1.0.0.0","mgn","Y-axis of a coordinate system, as a unit vector","geo","","","","","","","","","","",""
"mgn:Y_Axis:2                         mgn:x:1                             ","Attribute","x","n/a","mgn","X-coordinate of a unit vector ","geo","ASCII_Real","1","1","-1","1","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"mgn:Y_Axis:2                         mgn:y:1                             ","Attribute","y","n/a","mgn","Y-coordinate of a unit vector ","geo","ASCII_Real","1","1","-1","1","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"mgn:Y_Axis:2                         mgn:z:1                             ","Attribute","z","n/a","mgn","Z-coordinate of a unit vector ","geo","ASCII_Real","1","1","-1","1","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"mgn:Z_Axis:1                        ","Class","Z_Axis","1.0.0.0","mgn","Z-axis of a coordinate system, as a unit vector","geo","","","","","","","","","","",""
"mgn:Z_Axis:2                         mgn:x:1                             ","Attribute","x","n/a","mgn","X-coordinate of a unit vector ","geo","ASCII_Real","1","1","-1","1","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"mgn:Z_Axis:2                         mgn:y:1                             ","Attribute","y","n/a","mgn","Y-coordinate of a unit vector ","geo","ASCII_Real","1","1","-1","1","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"mgn:Z_Axis:2                         mgn:z:1                             ","Attribute","z","n/a","mgn","Z-coordinate of a unit vector ","geo","ASCII_Real","1","1","-1","1","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"mgn:Orbit_Metadata:1                ","Class","Orbit_Metadata","1.0.0.0","mgn","Parameters related to the timing of this observation","geo","","","","","","","","","","",""
"mgn:Orbit_Metadata:2                 mgn:mapping_start_time_tdb:1        ","Attribute","mapping_start_time_tdb","n/a","mgn","Mapping start time (SCET) in TDB seconds from epoch J2000 ","geo","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"mgn:Orbit_Metadata:2                 mgn:mapping_stop_time_tdb:1         ","Attribute","mapping_stop_time_tdb","n/a","mgn","Mapping stop time (SCET) in TDB seconds from epoch J2000 ","geo","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"mgn:Orbit_Metadata:2                 mgn:mapping_start_time_utc:1        ","Attribute","mapping_start_time_utc","n/a","mgn","Mapping start time (SCET) in UTC timestamp ","geo","ASCII_Date_Time_YMD_UTC","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"mgn:Orbit_Metadata:2                 mgn:mapping_stop_time_utc:1         ","Attribute","mapping_stop_time_utc","n/a","mgn","Mapping stop time (SCET) in UTC timestamp ","geo","ASCII_Date_Time_YMD_UTC","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"mgn:Orbit_Metadata:2                 mgn:oblique_sinusoidal_start_time_tdb:1","Attribute","oblique_sinusoidal_start_time_tdb","n/a","mgn","Oblique sinusoidal start time (SCET) in TDB seconds from epoch J2000 ","geo","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"mgn:Orbit_Metadata:2                 mgn:oblique_sinusoidal_stop_time_tdb:1","Attribute","oblique_sinusoidal_stop_time_tdb","n/a","mgn","Oblique sinusoidal stop time (SCET) in TDB seconds from epoch J2000 ","geo","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"mgn:Orbit_Metadata:2                 mgn:oblique_sinusoidal_start_time_utc:1","Attribute","oblique_sinusoidal_start_time_utc","n/a","mgn","Oblique sinusoidal start time (SCET) in UTC timestamp ","geo","ASCII_Date_Time_YMD_UTC","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"mgn:Orbit_Metadata:2                 mgn:oblique_sinusoidal_stop_time_utc:1","Attribute","oblique_sinusoidal_stop_time_utc","n/a","mgn","Oblique sinusoidal stop time (SCET) in UTC timestamp ","geo","ASCII_Date_Time_YMD_UTC","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"mgn:BIDR_Keplerians:1               ","Class","BIDR_Keplerians","1.0.0.0","mgn","Keplerians of the spacecraft orbit at the time of this observation","geo","","","","","","","","","","",""
