"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"mgn:Magellan_Parameters:1           ","Class","Magellan_Parameters","1.0.0.0","mgn","The Magellan_Parameters class is the container for mission-specific metadata elements.","geo","","","","","","","","","","",""
"mgn:Magellan_Parameters:2            mgn:product_type:1                  ","Attribute","product_type","n/a","mgn","The product_type attribute indicates the type of data for an individual data product. The values are based on the values used by the Magellan project for their delivery to PDS.","geo","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"mgn:Magellan_Parameters:2            mgn:product_type:2                   Value:ARCDR","Value","ARCDR","","","Altimetry and Radiometry Composite Data Record"
"mgn:Magellan_Parameters:2            mgn:product_type:2                   Value:BSR","Value","BSR","","","Bistatic Radar"
"mgn:Magellan_Parameters:2            mgn:product_type:2                   Value:C-BIDR","Value","C-BIDR","","","Compressed Basic Image Data Record"
"mgn:Magellan_Parameters:2            mgn:product_type:2                   Value:C1-MIDR","Value","C1-MIDR","","","Compressed one time Mosaicked Image Data Record"
"mgn:Magellan_Parameters:2            mgn:product_type:2                   Value:C2-MIDR","Value","C2-MIDR","","","Compressed two times Mosaicked Image Data Record"
"mgn:Magellan_Parameters:2            mgn:product_type:2                   Value:C3-MIDR","Value","C3-MIDR","","","Compressed three times Mosaicked Image Data Record"
"mgn:Magellan_Parameters:2            mgn:product_type:2                   Value:F-BIDR","Value","F-BIDR","","","Full resolution Basic Image Data Record"
"mgn:Magellan_Parameters:2            mgn:product_type:2                   Value:F-MIDR","Value","F-MIDR","","","Full resolution Mosaicked Image Data Record"
"mgn:Magellan_Parameters:2            mgn:product_type:2                   Value:GEDR","Value","GEDR","","","Global emissivity map data record"
"mgn:Magellan_Parameters:2            mgn:product_type:2                   Value:GREDR","Value","GREDR","","","Global reflectivity map data record"
"mgn:Magellan_Parameters:2            mgn:product_type:2                   Value:GSDR","Value","GSDR","","","Global slope map data record"
"mgn:Magellan_Parameters:2            mgn:product_type:2                   Value:GTDR","Value","GTDR","","","Global topography map data record"
"mgn:Magellan_Parameters:2            mgn:product_type:2                   Value:GVDR","Value","GVDR","","","Global Vector Data Record"
"mgn:Magellan_Parameters:2            mgn:product_type:2                   Value:GXDR","Value","GXDR","","","Global map image Data Record with maps for topography, emissivity, slope and reflectivity"
"mgn:Magellan_Parameters:2            mgn:product_type:2                   Value:LOSAPDR","Value","LOSAPDR","","","Line Of Sight Acceleration Profile Data Record"
"mgn:Magellan_Parameters:2            mgn:product_type:2                   Value:P-MIDR","Value","P-MIDR","","","Polar projected Mosaicked Image Data Record"
"mgn:Magellan_Parameters:2            mgn:product_type:2                   Value:SCVDR","Value","SCVDR","","","Surface Characteristics Vector Data Record"
